Layer,nu,gamma,error,error_ind,error_ood
11,0.001,0.001,0.4631,0.0013,0.9249
11,0.001,0.0025,0.3718,0.0043,0.7394
11,0.001,0.005,0.1891,0.0103,0.3678
11,0.001,0.01,0.0530,0.0223,0.0837
10,0.001,0.001,0.4190,0.0027,0.8354
10,0.001,0.0025,0.2011,0.0075,0.3947
10,0.001,0.005,0.0350,0.0219,0.0481
9,0.001,0.001,0.3316,0.0031,0.6601
9,0.001,0.0025,0.1071,0.0109,0.2033
9,0.001,0.005,0.0225,0.0297,0.0152
11,0.001,0.025,0.0336,0.0663,0.0009
8,0.001,0.001,0.1352,0.0023,0.2681
10,0.001,0.01,0.0263,0.0521,0.0006
8,0.001,0.0025,0.0075,0.0132,0.0017
